,,Grid-VNS,,Grid-VNS excluding Alternate,,Grid-VNS exluding Reassign,,Grid-VNS exluding Explore,,Grid-VNS exluding Substitute,,Grid-VNS exluding SwaoK,
n,p,Avg_time,# of Best,Avg_time,# of Best,Avg_time,# of Best,Avg_time,# of Best,Avg_time,# of Best,Avg_time,# of Best
15,2,0.48,10,32.79,10,2262.51,10,1.23,10,0.45,10,0.83,10
15,5,10.36,10,36.97,10,7200.9,3,12.46,10,10.74,10,28.52,10
15,10,118.34,10,548.33,10,7203.01,1,416.95,10,388.43,9,326.78,10
15,15,267.14,10,673.1,10,7204.55,0,261.39,10,1182.39,9,968.23,10
20,2,2.16,10,28.36,10,7200.27,7,2.44,10,2.63,10,1.78,10
20,5,49.53,10,2097.18,10,7200.95,0,59.17,10,70.25,10,48.64,10
20,10,198.92,10,5374.19,3,7204.11,0,425.36,10,1006.02,10,729.09,10
20,15,1692.51,10,7203.29,0,7202.23,0,5185.99,7,6465.76,2,5217.2,6
25,2,21.87,10,598.57,10,7200.88,0,13.13,10,6.99,10,11.77,10
25,5,104.79,10,4106.63,8,7203.2,0,94.23,10,64.87,10,210.71,10
25,10,359.51,10,7202.45,0,7205.51,0,424.38,10,981.58,9,1096.47,10
25,15,1325.31,10,6689.68,2,7205.48,0,1500.24,10,6171.61,3,6130.65,3
30,2,25.44,10,3123.87,9,7202.09,0,15.72,10,13.03,10,8.87,10
30,5,125.22,10,6637.18,1,7206.88,0,115.65,10,161.4,10,181.51,10
30,10,2018.91,10,7205.22,0,7208.08,0,3077.71,8,2683.26,3,6931.5,1
30,15,314.96,10,7205.37,0,7207.2,0,268.61,10,4172.45,5,6688,9
