,,,,CPLEX,,,CPLEX2,,LocalSolver,,Grid-VNS,,
n_b,n,n_h,p,Obj,Time1,Time2,Gap ,Time1,Gap,Time1,Best_obj,Time1,Avg_gap
4,16,11,2,3025048.5,0.1,0.1,0,0.1,0,0.9,3025048.5,0,0
5,25,19,2,3216738.8,0.2,0.8,0,0.5,0,29.7,3216738.8,0.1,0
6,36,27,2,2868937.5,6.7,7.2,0,1.4,0,99,2868937.5,0.2,0
7,49,34,2,3137937.2,5.9,6.8,0,2.8,0,632.8,3137937.2,0.1,0
8,64,42,2,3335882.2,59.6,65.9,0,6.6,0,2667.2,3335882.2,0.6,0
9,81,57,2,2919133.6,149.7,156.3,0,21.3,-,3626.9,2919133.6,0.1,0
10,100,67,2,3034998.7,1640,2426.9,0,71.8,-,3645.9,3034998.7,0.6,0
11,121,85,2,2954303.7,1908.7,4243.6,0,166.5,-,3683.8,2954303.7,0.4,0
12,144,96,2,2899817.3,11811.3,13140.5,0,313.5,-,3731,2899817.3,0.2,0
6,36,27,5,2186158,2.2,2.6,0,2,0,64.8,2186158,0.2,0
7,49,34,5,2506851.9,4.6,7.4,0,5,0,876.4,2506851.9,0.4,0
8,64,42,5,2614842.4,210.8,221.6,0,15,-,3613.7,2614842.4,0.5,0
9,81,57,5,2366864.9,703.5,913.3,0,33.5,-,3626.5,2366864.9,1.6,0
10,100,67,5,2462767,3121.1,3150.9,0,82.9,-,3642,2462767,0.6,0
11,121,85,5,2432875.2,13634.1,36043.9,0,214.8,58.429,3682.6,2432875.2,4.5,0
12,144,96,5,2390949.9,28386.4,36148.8,-0.642,381,-,3724.9,2375591.9,1.7,-0.642
8,64,42,10,2292486.6,19.2,72.5,0,19.7,-,3614.1,2292486.6,1.5,0
9,81,57,10,2032507.7,2873.1,2931.3,0,72.3,-,3624.9,2032507.7,16,0
10,100,67,10,2211559.1,4953.2,36120.9,0,207.1,-,3644.5,2211559.1,40.8,0
11,121,85,10,2118538.2,18946.7,36040.1,-0.019,933.4,-,3680.2,2118132.8,7,-0.019
12,144,96,10,2101741.7,33194.3,36127.4,-0.737,766.1,-,3729.4,2086256.7,27.3,-0.737
10,100,67,15,2057327.8,3344.5,36013.3,0,294.6,-,3645.5,2057327.8,15.7,0
11,121,85,15,1958443.3,6145.7,36041.4,-0.005,806.3,-,3681.4,1958345.6,11,-0.005
12,144,96,15,1965055.7,32885.2,36089.7,-1.42,878.1,-,3725,1937152.3,17.9,-1.42
