,,,Mix-GVNS,,,,Grid-VNS,,,,N-VNS,,,
n_b,p,Best,Avg_time,Min_gap,Avg_gap,# of Best,Avg_time,Min_gap,Avg_gap,# of Best,Avg_time,Min_gap,Avg_gap,# of Best
4,3,2761005.56,0.08,0,1.034,7,0.07,0,0,10,0.09,0,0,10
6,3,2541079.56,0.22,0,2.5,4,0.11,0,0,10,0.37,0,0,10
8,3,2980902.29,0.26,0,0,10,0.19,0,0,10,0.48,0,0,10
4,5,2484384.31,0.1,0,2.209,1,0.06,0,0,10,0.21,0,0,10
6,5,2186157.97,0.58,2.45,6.833,0,0.21,0,0,10,0.43,0,0,10
8,5,2614842.36,1.37,0,0.448,5,0.54,0,0,10,0.9,0,0,10
12,5,2375591.93,13.92,0,0.505,3,1.71,0,0,10,17.15,0,0,10
14,5,2435238.35,10.79,0,0.049,4,1.88,0,0,10,3.02,0,0,10
16,5,2347529.74,31.04,0,0,10,7.41,0,0,10,20.9,0,0,10
18,5,2321411.14,51.72,0,0.013,9,7.79,0,0,10,8.06,0,0,10
12,10,2086256.69,39.91,0.44,1.287,0,27.26,0,0,10,38.33,0,0,10
14,10,2150145.07,63.72,0.06,0.579,0,108.9,0,0,10,184.79,0,0,10
16,10,2044772.23,78.73,0.43,0.739,0,31.88,0,0,10,225.19,0,0,10
18,10,2036443.39,140.33,0.08,0.392,0,25.94,0,0,10,159.23,0,0.026,9
12,15,1937152.25,127.51,1.81,3.411,0,17.86,0,0,10,186.86,0,0,10
14,15,2003345.08,216.92,0.8,1.312,0,73.77,0,0,10,180.04,0,0,10
16,15,1889279.56,492.16,1.07,1.384,0,463.78,0,0.024,7,625.43,0,0.036,7
18,15,1890478.16,504.39,0.41,1.132,0,167.53,0,0.047,2,798.43,0,0.051,2
10,2,3034998.67,0.48,0,0,10,0.63,0,0,10,0.51,0,0,10
10,4,2603594.61,4.04,0,0,10,0.74,0,0,10,0.98,0,0,10
10,6,2393342.36,18.75,0,0.743,2,1.03,0,0,10,2.56,0,0,10
10,8,2294004.33,35.06,0.44,1.046,0,5.84,0,0,10,19.4,0,0,10
10,10,2211559.09,44.15,0.65,1.745,0,40.78,0,0,10,89.19,0,0,10
10,12,2144198.41,26.68,1.22,3.344,0,8.3,0,0,10,79.2,0,0,10
10,14,2084859.23,21.54,2.46,4.211,0,43.15,0,0,10,148.68,0,0,10
15,2,3007386.82,2.68,0,0,10,0.97,0,0,10,1.01,0,0,10
15,4,2521589.07,17.34,0,0,10,1.84,0,0,10,2.23,0,0,10
15,6,2332952.48,71.87,0,0.217,1,7.83,0,0,10,24.48,0,0,10
15,8,2239999.77,82.3,0.05,0.351,0,61.25,0,0,10,68.44,0,0,10
15,10,2158849.73,163.44,0.45,0.781,0,25.23,0,0,10,151.3,0,0,10
15,12,2094035.64,331.51,0.09,0.701,0,74.78,0,0,10,172.21,0,0,10
15,14,2037725.74,137.53,0.73,1.297,0,26.87,0,0,10,165.14,0,0,10
