n_b,p,Avg_time1(Mix-GVNS),Avg_time2(Grid-VNS),Speed-up
15,3,4.01,1.73,2.32
15,5,61.1,6.89,8.87
15,7,85.43,15.16,5.64
15,9,54.24,11.76,4.61
15,11,132.03,2.29,57.63
15,13,216.01,5.07,42.57
15,15,353.14,4.29,82.28
20,3,7.58,3.28,2.31
20,5,125.16,16.49,7.59
20,7,462.27,33.06,13.98
20,9,331.26,16.93,19.57
20,11,836.32,33.22,25.18
20,13,930.18,29.36,31.68
20,15,457.39,59.64,7.67
25,3,317.82,18.54,17.14
25,5,622.79,48.8,12.76
25,7,516.7,91.19,5.67
25,9,661.2,70.76,9.34
25,11,673.63,119.09,5.66
25,13,613.19,94.13,6.51
25,15,1450.41,129.98,11.16
8,5,5.18,0.53,9.77
10,5,4.88,1.24,3.92
12,5,24.52,3.65,6.71
14,5,35.59,2.39,14.87
16,5,50.7,10.91,4.65
18,5,34.71,5.42,6.41
8,10,12.26,1.29,9.51
10,10,22.69,0.71,32.09
12,10,28.78,1.37,21.08
14,10,58.57,5.37,10.91
16,10,187.23,6.55,28.58
18,10,312.06,10.96,28.47
8,15,32.8,1.77,18.56
10,15,28.34,1.07,26.48
12,15,146.97,1.42,103.41
14,15,287.24,2.02,142.33
16,15,393.1,3.06,128.39
18,15,248.2,9.76,25.44
