,,,,IWA,,,Grid-VNS,,
n_b,n,n_h,p,Min_gap,Avg_gap,Time,Best,Avg_gap,Time
13,169,125,2,0.059,1.715,9.22,2956141.746,0,0.58
13,169,125,5,3.91,10.743,9.34,2432102.109,0,1.3
13,169,125,10,5.418,9.796,9.84,2145975.208,0,10.4
13,169,125,15,9.42,12.957,9.25,2069430.484,0,15.84
13,169,125,20,12.686,15.554,10.08,2025825.435,0,44.14
19,360,256,2,0.313,0.779,14.85,2980606.744,0,4.39
19,360,256,5,6.915,8.357,16.8,2370790.11,0,6.32
19,360,256,10,5.008,7.981,15.62,2092510.324,0,322.16
19,360,256,15,6.623,10.177,16.71,1932903.666,0,761.92
19,360,256,20,10.027,13.139,16.22,1832638.537,0,578.99
25,617,439,2,0.407,0.846,22.58,2926486.791,0,14.08
25,617,439,5,2.43,5.817,32.05,2357563.473,0,32.07
25,617,439,10,5.401,6.506,38.3,2079156.426,0,879.28
25,617,439,15,6.748,8.706,41.77,1913513.393,0,622.89
25,617,439,20,8.011,10.523,56.35,1813560.73,0.026,537.91
30,875,629,2,0.915,2.509,42.66,2940363.854,0,15.74
30,875,629,5,6.885,8.12,56.63,2359141.016,0,154.14
30,875,629,10,4.545,6.621,63.91,2078698.789,0.012,1214.51
30,875,629,15,9.063,11.068,87.02,1908220.055,0,387.99
30,875,629,20,8.214,10.895,110.4,1830066.689,0.06,1133.69
35,1181,861,2,2.268,2.565,67.14,2908879.946,0,52.33
35,1181,861,5,3.597,7.292,113.6,2356061.673,0,63.18
35,1181,861,10,5.031,6.719,121.31,2063748.435,0.017,1174.84
35,1181,861,15,5.367,7.537,188.91,1901027.202,0.016,831.89
35,1181,861,20,7.174,8.817,231.28,1802416.422,0.029,474.74
