dataset,p,Best ,number,avg_gap,max_gap,avg time,Best ,number,avg_gap,max_gap,avg time
ap200,2,182459.25,10,0,0,1,182459.25,10,0,0,1.4
ap200,3,162887.03,10,0,0,1.4,162887.03,10,0,0,2.3
ap200,4,147767.3,10,0,0,8.6,147767.3,10,0,0,13.2
ap200,5,140062.65,10,0,0,66.1,140062.65,10,0,0,306
ap200,10,110147.66,10,0,0,240.6,110147.66,6,0.033,0.098,729.5
ap200,15,94459.2,10,0,0,674.4,94459.2,3,0.026,0.038,1462.5
ap200,20,84955.33,10,0,0,667.7,84955.33,2,0.237,0.436,1984.6
urand100,2,36930.31,10,0,0,2.1,36930.31,10,0,0,3.9
urand100,3,34532.88,10,0,0,0.4,34532.88,10,0,0,4.5
urand100,4,32608.28,10,0,0,4.8,32608.28,10,0,0,5.3
urand100,5,31107.7,10,0,0,14.7,31107.7,10,0,0,91.5
urand100,10,27058.4,10,0,0,53.3,27058.4,7,0.01,0.033,143
urand100,15,25408.56,10,0,0,278.6,25408.56,3,0.063,0.15,452.8
urand100,20,24377.65,8,0.011,0.087,528,24388.43,0,0.275,0.785,810.2
urand200,2,1428235.45,10,0,0,1.7,1428235.45,10,0,0,2
urand200,3,139223.25,10,0,0,10.6,139223.25,10,0,0,13
urand200,4,132676.9,10,0,0,52.4,132676.9,10,0,0,391.4
urand200,5,127220.02,10,0,0,66.9,127220.02,10,0,0,109.6
urand200,10,112359.21,10,0,0,126.7,112359.21,10,0,0,342.8
urand200,15,105690.52,9,0.002,0.026,344.4,105711.49,0,0.031,0.037,1129
urand200,20,102022.32,8,0.016,0.112,580.4,102042.61,0,0.073,0.255,978.6
urand300,2,328702.42,10,0,0,9.4,328702.42,10,0,0,49
urand300,3,308765.08,10,0,0,38.3,308765.08,10,0,0,84.4
urand300,4,293636.81,10,0,0,62.8,293636.81,10,0,0,70.8
urand300,5,282116.88,10,0,0,31.2,282116.88,10,0,0,156.5
urand300,10,251393.3,10,0,0,477.6,251393.3,10,0,0,2474.4
urand300,15,236781.77,10,0,0,741.6,236781.77,5,0.028,0.1,2710.4
urand300,20,228005.19,8,0.003,0.023,962.9,228005.19,1,0.036,0.147,3235.1
urand400,2,579982.35,10,0,0,6.2,579982.35,10,0,0,16.7
urand400,3,543717.32,10,0,0,170,543717.32,10,0,0,934.9
urand400,4,519217.48,10,0,0,108.6,519217.48,10,0,0,237
urand400,5,501421.52,10,0,0,116.2,501421.52,10,0,0,215.7
urand400,10,446361.1,10,0,0,524.6,446361.1,9,0.002,0.023,1202.5
urand400,15,422284.78,8,0.012,0.072,994.8,422290.02,0,0.074,0.159,1473.2
urand400,20,407110.51,6,0.002,0.009,1297.3,407298.66,0,0.093,0.187,2788.8
