wi0,wi1,wi2,wi3,wi4,wi5,wi6,wi7,wi8,wi9,wi10,wi11,wi12,wi13,wi14,wi15
5.0,36.0,19.0,10.0,35.0,111.0,48.0,27.0,54.0,158.0,221.0,53.0,17.0,62.0,37.0,31.0
36.0,52.0,109.0,85.0,68.0,445.0,292.0,168.0,174.0,982.0,1189.0,223.0,87.0,293.0,259.0,87.0
8.0,66.0,9.0,34.0,15.0,642.0,78.0,37.0,26.0,117.0,140.0,27.0,12.0,32.0,45.0,19.0
9.0,57.0,34.0,11.0,28.0,183.0,142.0,85.0,49.0,338.0,496.0,99.0,30.0,106.0,92.0,37.0
20.0,62.0,22.0,14.0,48.0,283.0,167.0,56.0,157.0,589.0,703.0,113.0,67.0,197.0,132.0,42.0
102.0,429.0,240.0,157.0,268.0,678.0,839.0,417.0,772.0,2647.0,4386.0,883.0,360.0,1397.0,1072.0,374.0
45.0,285.0,224.0,272.0,244.0,1035.0,240.0,483.0,459.0,2495.0,3377.0,829.0,306.0,912.0,957.0,403.0
23.0,117.0,64.0,67.0,58.0,393.0,291.0,82.0,127.0,802.0,1399.0,345.0,81.0,286.0,290.0,157.0
30.0,102.0,80.0,45.0,141.0,833.0,436.0,188.0,182.0,1572.0,2564.0,391.0,310.0,999.0,573.0,200.0
128.0,581.0,385.0,226.0,634.0,3158.0,1856.0,764.0,1736.0,3221.0,10879.0,2082.0,1360.0,3956.0,2891.0,981.0
91.0,595.0,367.0,315.0,489.0,4170.0,2159.0,1158.0,1802.0,9579.0,3620.0,2291.0,1674.0,4884.0,4198.0,1538.0
41.0,151.0,90.0,102.0,127.0,1052.0,638.0,301.0,417.0,2428.0,3014.0,214.0,202.0,927.0,1195.0,690.0
15.0,20.0,32.0,18.0,39.0,277.0,151.0,73.0,219.0,1007.0,1345.0,155.0,63.0,461.0,369.0,91.0
69.0,210.0,152.0,89.0,193.0,1858.0,755.0,347.0,1018.0,4569.0,6766.0,1031.0,597.0,809.0,1830.0,874.0
37.0,148.0,130.0,81.0,154.0,1354.0,824.0,374.0,562.0,3375.0,5205.0,1220.0,413.0,1738.0,375.0,583.0
18.0,49.0,29.0,32.0,40.0,344.0,216.0,137.0,154.0,1041.0,1834.0,487.0,104.0,600.0,419.0,78.0
