wi0,wi1,wi2,wi3,wi4,wi5,wi6,wi7,wi8,wi9,wi10,wi11,wi12,wi13,wi14,wi15,wi16,wi17,wi18,wi19,wi20,wi21,wi22,wi23,wi24
1.0,8.0,4.0,2.0,1.0,1.0,34.0,10.0,2.0,9.0,12.0,52.0,59.0,35.0,22.0,2.0,28.0,31.0,18.0,9.0,2.0,13.0,13.0,10.0,0.0
10.0,11.0,22.0,46.0,20.0,10.0,111.0,65.0,49.0,66.0,46.0,295.0,523.0,338.0,94.0,39.0,205.0,285.0,251.0,71.0,9.0,109.0,82.0,55.0,21.0
6.0,31.0,7.0,10.0,16.0,2.0,60.0,34.0,45.0,34.0,21.0,200.0,226.0,155.0,60.0,7.0,79.0,119.0,107.0,21.0,5.0,52.0,34.0,24.0,7.0
4.0,26.0,9.0,2.0,11.0,0.0,8.0,7.0,19.0,23.0,6.0,30.0,51.0,45.0,4.0,4.0,15.0,17.0,17.0,6.0,0.0,3.0,5.0,9.0,4.0
2.0,18.0,15.0,5.0,3.0,2.0,23.0,23.0,19.0,35.0,8.0,77.0,122.0,126.0,31.0,7.0,40.0,52.0,52.0,20.0,3.0,36.0,21.0,15.0,4.0
5.0,7.0,3.0,1.0,3.0,0.0,24.0,7.0,8.0,5.0,24.0,53.0,86.0,56.0,11.0,5.0,30.0,44.0,27.0,10.0,5.0,22.0,13.0,11.0,3.0
28.0,95.0,37.0,13.0,18.0,22.0,26.0,62.0,54.0,66.0,86.0,510.0,889.0,553.0,129.0,44.0,281.0,418.0,372.0,86.0,17.0,175.0,102.0,96.0,38.0
5.0,57.0,31.0,10.0,9.0,4.0,45.0,11.0,43.0,40.0,36.0,275.0,979.0,311.0,90.0,20.0,176.0,232.0,193.0,55.0,13.0,78.0,86.0,74.0,19.0
7.0,49.0,39.0,14.0,39.0,3.0,66.0,46.0,10.0,84.0,36.0,275.0,355.0,274.0,100.0,17.0,104.0,191.0,188.0,77.0,11.0,69.0,53.0,67.0,26.0
8.0,65.0,37.0,20.0,17.0,7.0,71.0,55.0,42.0,9.0,17.0,326.0,549.0,432.0,124.0,13.0,123.0,192.0,234.0,77.0,13.0,84.0,63.0,75.0,19.0
8.0,28.0,15.0,1.0,7.0,13.0,108.0,74.0,34.0,40.0,28.0,402.0,755.0,468.0,112.0,34.0,299.0,418.0,306.0,90.0,42.0,206.0,154.0,79.0,39.0
55.0,189.0,126.0,26.0,51.0,66.0,507.0,311.0,166.0,241.0,373.0,234.0,3102.0,3174.0,691.0,254.0,1236.0,2286.0,1840.0,439.0,146.0,1164.0,876.0,486.0,173.0
37.0,292.0,162.0,44.0,44.0,31.0,681.0,620.0,222.0,362.0,486.0,2271.0,943.0,2450.0,977.0,264.0,2183.0,2346.0,2686.0,748.0,142.0,2111.0,1719.0,711.0,272.0
44.0,217.0,129.0,45.0,123.0,30.0,618.0,518.0,220.0,613.0,354.0,3310.0,3301.0,751.0,760.0,221.0,1703.0,2760.0,2069.0,966.0,106.0,1533.0,1308.0,980.0,343.0
12.0,53.0,25.0,12.0,26.0,8.0,120.0,119.0,75.0,108.0,99.0,628.0,1221.0,783.0,50.0,62.0,408.0,646.0,800.0,252.0,29.0,275.0,247.0,290.0,102.0
5.0,20.0,5.0,4.0,3.0,1.0,33.0,25.0,14.0,30.0,29.0,236.0,342.0,233.0,79.0,6.0,186.0,235.0,179.0,40.0,18.0,135.0,124.0,48.0,12.0
32.0,100.0,48.0,13.0,20.0,30.0,282.0,239.0,98.0,110.0,302.0,1281.0,3028.0,1923.0,404.0,267.0,147.0,1449.0,1827.0,417.0,239.0,941.0,883.0,505.0,180.0
17.0,158.0,75.0,12.0,30.0,16.0,368.0,369.0,119.0,159.0,355.0,2783.0,3691.0,2795.0,701.0,243.0,1185.0,327.0,1693.0,688.0,161.0,1828.0,1150.0,596.0,230.0
22.0,157.0,66.0,10.0,42.0,17.0,282.0,268.0,166.0,196.0,212.0,2234.0,3516.0,1874.0,823.0,152.0,1591.0,1548.0,385.0,656.0,96.0,1226.0,983.0,706.0,383.0
7.0,37.0,21.0,3.0,14.0,3.0,80.0,70.0,39.0,61.0,46.0,568.0,946.0,770.0,181.0,25.0,382.0,671.0,534.0,67.0,30.0,255.0,271.0,241.0,104.0
1.0,4.0,2.0,0.0,2.0,0.0,22.0,21.0,5.0,12.0,28.0,182.0,248.0,165.0,39.0,24.0,215.0,227.0,126.0,23.0,9.0,139.0,100.0,36.0,18.0
11.0,56.0,34.0,4.0,15.0,2.0,147.0,137.0,42.0,81.0,145.0,1329.0,2273.0,1353.0,273.0,129.0,876.0,1622.0,1272.0,349.0,111.0,204.0,564.0,493.0,150.0
19.0,53.0,24.0,11.0,9.0,9.0,96.0,95.0,54.0,45.0,110.0,1052.0,2072.0,1255.0,294.0,85.0,728.0,951.0,1031.0,298.0,105.0,473.0,70.0,248.0,172.0
8.0,49.0,24.0,12.0,14.0,9.0,95.0,96.0,55.0,81.0,87.0,750.0,1275.0,1188.0,331.0,49.0,566.0,751.0,945.0,312.0,47.0,575.0,304.0,96.0,119.0
5.0,22.0,7.0,0.0,6.0,4.0,27.0,32.0,15.0,28.0,33.0,247.0,353.0,379.0,119.0,20.0,190.0,265.0,385.0,85.0,18.0,125.0,151.0,92.0,10.0
