wi0,wi1,wi2,wi3,wi4,wi5,wi6,wi7,wi8,wi9,wi10,wi11,wi12,wi13,wi14,wi15,wi16,wi17,wi18,wi19,wi20,wi21,wi22,wi23,wi24,wi25,wi26,wi27,wi28,wi29,wi30,wi31,wi32,wi33,wi34,wi35
0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,7.0,8.0,2.0,1.0,0.0,6.0,2.0,13.0,7.0,7.0,0.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0
1.0,0.0,4.0,1.0,1.0,1.0,6.0,6.0,20.0,9.0,9.0,9.0,5.0,28.0,39.0,24.0,20.0,3.0,18.0,42.0,73.0,112.0,50.0,9.0,7.0,11.0,47.0,43.0,23.0,1.0,0.0,15.0,7.0,5.0,7.0,6.0
3.0,4.0,0.0,40.0,15.0,12.0,2.0,35.0,57.0,23.0,53.0,52.0,5.0,60.0,112.0,90.0,56.0,11.0,30.0,104.0,294.0,398.0,158.0,37.0,10.0,92.0,148.0,167.0,67.0,6.0,0.0,45.0,30.0,46.0,15.0,5.0
0.0,7.0,25.0,0.0,2.0,6.0,0.0,1.0,16.0,4.0,14.0,17.0,5.0,11.0,7.0,19.0,9.0,4.0,3.0,11.0,26.0,24.0,17.0,3.0,2.0,3.0,9.0,10.0,12.0,0.0,2.0,2.0,2.0,6.0,0.0,0.0
1.0,2.0,6.0,2.0,0.0,5.0,1.0,1.0,7.0,4.0,9.0,9.0,0.0,3.0,4.0,10.0,2.0,1.0,3.0,6.0,12.0,17.0,11.0,1.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0
0.0,0.0,6.0,4.0,0.0,0.0,1.0,2.0,10.0,8.0,18.0,15.0,2.0,4.0,11.0,15.0,19.0,4.0,2.0,13.0,43.0,80.0,40.0,3.0,1.0,7.0,13.0,16.0,8.0,5.0,2.0,8.0,7.0,3.0,4.0,3.0
3.0,1.0,9.0,1.0,1.0,4.0,0.0,7.0,15.0,9.0,5.0,10.0,5.0,37.0,41.0,16.0,4.0,1.0,11.0,31.0,54.0,91.0,32.0,14.0,4.0,24.0,38.0,35.0,14.0,5.0,1.0,10.0,16.0,10.0,4.0,2.0
3.0,10.0,27.0,4.0,3.0,3.0,18.0,2.0,5.0,21.0,14.0,20.0,8.0,37.0,85.0,53.0,33.0,6.0,22.0,61.0,164.0,195.0,65.0,27.0,7.0,64.0,94.0,73.0,45.0,4.0,0.0,22.0,17.0,17.0,10.0,2.0
3.0,27.0,84.0,17.0,6.0,13.0,19.0,17.0,9.0,21.0,56.0,50.0,7.0,91.0,170.0,132.0,92.0,22.0,25.0,154.0,432.0,530.0,233.0,64.0,23.0,109.0,179.0,182.0,98.0,15.0,1.0,59.0,36.0,61.0,36.0,18.0
0.0,2.0,16.0,3.0,6.0,3.0,2.0,6.0,33.0,0.0,17.0,22.0,4.0,27.0,642.0,27.0,30.0,7.0,11.0,59.0,127.0,190.0,59.0,34.0,4.0,33.0,78.0,72.0,42.0,2.0,0.0,22.0,31.0,23.0,14.0,7.0
2.0,5.0,32.0,7.0,2.0,26.0,9.0,12.0,48.0,15.0,4.0,48.0,6.0,29.0,108.0,66.0,44.0,16.0,16.0,54.0,195.0,257.0,142.0,38.0,12.0,31.0,86.0,83.0,50.0,9.0,4.0,23.0,25.0,26.0,22.0,8.0
1.0,5.0,43.0,15.0,7.0,13.0,10.0,13.0,61.0,34.0,37.0,7.0,9.0,45.0,187.0,97.0,100.0,28.0,16.0,109.0,298.0,446.0,203.0,41.0,7.0,54.0,115.0,120.0,100.0,4.0,2.0,52.0,29.0,38.0,20.0,3.0
2.0,3.0,7.0,0.0,0.0,2.0,3.0,9.0,23.0,4.0,7.0,4.0,2.0,24.0,60.0,33.0,18.0,8.0,14.0,97.0,110.0,137.0,50.0,13.0,9.0,55.0,61.0,45.0,17.0,4.0,4.0,24.0,4.0,12.0,11.0,2.0
3.0,19.0,56.0,10.0,3.0,8.0,45.0,28.0,109.0,77.0,45.0,63.0,68.0,7.0,331.0,312.0,147.0,34.0,90.0,245.0,550.0,1191.0,465.0,99.0,47.0,304.0,416.0,409.0,197.0,24.0,18.0,172.0,111.0,109.0,42.0,22.0
4.0,20.0,92.0,14.0,9.0,21.0,13.0,66.0,179.0,152.0,83.0,140.0,59.0,188.0,15.0,95.0,267.0,50.0,130.0,496.0,542.0,1313.0,810.0,213.0,49.0,376.0,750.0,690.0,395.0,41.0,10.0,242.0,276.0,206.0,89.0,41.0
6.0,22.0,78.0,17.0,12.0,26.0,18.0,46.0,156.0,145.0,109.0,268.0,42.0,324.0,122.0,7.0,106.0,71.0,85.0,348.0,851.0,954.0,697.0,178.0,43.0,247.0,508.0,743.0,316.0,46.0,11.0,229.0,148.0,173.0,104.0,25.0
2.0,6.0,37.0,2.0,0.0,31.0,6.0,38.0,91.0,81.0,44.0,130.0,20.0,142.0,359.0,94.0,4.0,52.0,52.0,217.0,628.0,818.0,405.0,171.0,29.0,151.0,332.0,450.0,364.0,66.0,6.0,133.0,102.0,109.0,90.0,32.0
0.0,5.0,12.0,3.0,1.0,10.0,1.0,10.0,22.0,12.0,16.0,32.0,5.0,22.0,100.0,83.0,42.0,3.0,22.0,58.0,156.0,294.0,211.0,60.0,7.0,39.0,81.0,102.0,101.0,15.0,3.0,36.0,22.0,33.0,27.0,7.0
2.0,4.0,27.0,1.0,0.0,3.0,6.0,30.0,33.0,29.0,21.0,22.0,10.0,63.0,205.0,81.0,78.0,34.0,5.0,120.0,408.0,546.0,228.0,38.0,17.0,145.0,284.0,208.0,96.0,16.0,11.0,105.0,75.0,67.0,21.0,14.0
3.0,23.0,51.0,14.0,1.0,15.0,36.0,62.0,173.0,124.0,66.0,100.0,104.0,263.0,776.0,401.0,280.0,67.0,166.0,53.0,602.0,2557.0,879.0,231.0,123.0,513.0,995.0,865.0,413.0,47.0,36.0,478.0,295.0,239.0,116.0,56.0
