wi0,wi1,wi2,wi3,wi4,wi5,wi6,wi7,wi8,wi9,wi10,wi11,wi12,wi13,wi14,wi15,wi16,wi17,wi18,wi19,wi20,wi21,wi22,wi23,wi24,wi25,wi26,wi27,wi28,wi29,wi30,wi31,wi32,wi33,wi34,wi35,wi36,wi37,wi38,wi39,wi40,wi41,wi42,wi43,wi44,wi45,wi46,wi47,wi48
0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,1.0,3.0,0.0,1.0,2.0,4.0,3.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,16.0,7.0,4.0,4.0,1.0,8.0,2.0,4.0,10.0,15.0,4.0,2.0,1.0,1.0,3.0,10.0,5.0,8.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0
4.0,0.0,2.0,5.0,28.0,9.0,3.0,4.0,6.0,49.0,27.0,3.0,24.0,22.0,1.0,34.0,31.0,38.0,26.0,27.0,25.0,8.0,13.0,171.0,146.0,62.0,62.0,5.0,11.0,37.0,81.0,243.0,204.0,92.0,26.0,7.0,20.0,81.0,80.0,74.0,42.0,0.0,0.0,31.0,31.0,29.0,16.0,13.0,3.0
0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,15.0,3.0,3.0,4.0,1.0,0.0,3.0,6.0,5.0,4.0,3.0,3.0,1.0,4.0,21.0,15.0,8.0,3.0,0.0,1.0,6.0,8.0,17.0,21.0,7.0,5.0,2.0,3.0,3.0,8.0,5.0,2.0,0.0,0.0,3.0,0.0,2.0,4.0,1.0,2.0
0.0,0.0,23.0,1.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,8.0,3.0,1.0,0.0,3.0,2.0,12.0,9.0,4.0,5.0,2.0,15.0,7.0,13.0,7.0,2.0,1.0,1.0,4.0,13.0,11.0,8.0,1.0,1.0,0.0,3.0,4.0,6.0,4.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,2.0,6.0,3.0,1.0,1.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,12.0,7.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,6.0,0.0,1.0,2.0,3.0,1.0,6.0,3.0,1.0,1.0,10.0,7.0,6.0,13.0,1.0,1.0,0.0,6.0,17.0,21.0,17.0,2.0,0.0,0.0,4.0,2.0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0
2.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,5.0,16.0,6.0,2.0,3.0,6.0,3.0,18.0,16.0,7.0,2.0,2.0,3.0,1.0,13.0,34.0,42.0,12.0,10.0,1.0,10.0,10.0,25.0,54.0,49.0,22.0,12.0,2.0,9.0,20.0,19.0,13.0,13.0,2.0,0.0,9.0,9.0,13.0,8.0,3.0,0.0
0.0,0.0,18.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,13.0,1.0,5.0,6.0,0.0,11.0,7.0,10.0,4.0,5.0,2.0,5.0,17.0,43.0,43.0,17.0,20.0,7.0,9.0,9.0,21.0,59.0,50.0,23.0,8.0,1.0,6.0,19.0,20.0,12.0,12.0,4.0,0.0,7.0,5.0,5.0,1.0,7.0,3.0
0.0,7.0,46.0,9.0,21.0,3.0,1.0,18.0,2.0,7.0,6.0,14.0,26.0,38.0,4.0,42.0,28.0,48.0,36.0,23.0,15.0,7.0,31.0,229.0,217.0,89.0,95.0,12.0,17.0,54.0,110.0,244.0,285.0,116.0,43.0,18.0,35.0,105.0,87.0,90.0,63.0,7.0,0.0,35.0,38.0,29.0,33.0,23.0,9.0
