wi0,wi1,wi2,wi3,wi4,wi5,wi6,wi7,wi8,wi9,wi10,wi11,wi12,wi13,wi14,wi15,wi16,wi17,wi18,wi19,wi20,wi21,wi22,wi23,wi24,wi25,wi26,wi27,wi28,wi29,wi30,wi31,wi32,wi33,wi34,wi35,wi36,wi37,wi38,wi39,wi40,wi41,wi42,wi43,wi44,wi45,wi46,wi47,wi48,wi49,wi50,wi51,wi52,wi53,wi54,wi55,wi56,wi57,wi58,wi59,wi60,wi61,wi62,wi63
0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,3.0,7.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,8.0,0.0,11.0,3.0,9.0,8.0,2.0,0.0,0.0,0.0,3.0,2.0,6.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0
3.0,0.0,0.0,0.0,11.0,20.0,4.0,6.0,4.0,2.0,6.0,6.0,13.0,4.0,13.0,10.0,0.0,7.0,55.0,27.0,5.0,24.0,11.0,16.0,3.0,4.0,15.0,69.0,29.0,25.0,23.0,3.0,9.0,17.0,118.0,61.0,161.0,94.0,39.0,5.0,6.0,17.0,65.0,59.0,90.0,78.0,11.0,21.0,2.0,19.0,55.0,26.0,52.0,28.0,26.0,0.0,0.0,6.0,10.0,10.0,7.0,12.0,1.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,5.0,0.0,5.0,5.0,3.0,12.0,0.0,9.0,18.0,11.0,2.0,15.0,9.0,4.0,2.0,0.0,7.0,24.0,13.0,11.0,8.0,2.0,3.0,9.0,63.0,24.0,43.0,19.0,18.0,4.0,1.0,7.0,25.0,16.0,28.0,24.0,2.0,4.0,2.0,11.0,13.0,6.0,21.0,12.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0
0.0,0.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,7.0,4.0,1.0,6.0,4.0,0.0,3.0,3.0,0.0,3.0,4.0,8.0,0.0,0.0,1.0,2.0,9.0,4.0,3.0,8.0,3.0,1.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,9.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,2.0,0.0,2.0,3.0,5.0,3.0,2.0,0.0,1.0,0.0,14.0,3.0,11.0,3.0,3.0,0.0,0.0,2.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,11.0,5.0,2.0,0.0,1.0,8.0,3.0,13.0,5.0,0.0,0.0,2.0,15.0,10.0,30.0,27.0,7.0,0.0,1.0,0.0,5.0,2.0,7.0,14.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0
2.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,4.0,4.0,1.0,2.0,0.0,0.0,7.0,25.0,3.0,1.0,1.0,4.0,7.0,3.0,7.0,9.0,24.0,13.0,1.0,2.0,1.0,8.0,8.0,30.0,9.0,30.0,26.0,17.0,3.0,1.0,7.0,15.0,13.0,22.0,15.0,4.0,7.0,2.0,5.0,15.0,10.0,13.0,2.0,12.0,0.0,0.0,1.0,4.0,6.0,3.0,3.0,0.0,0.0
0.0,0.0,8.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,0.0,3.0,0.0,5.0,6.0,2.0,3.0,5.0,1.0,0.0,2.0,3.0,7.0,10.0,9.0,8.0,5.0,2.0,6.0,3.0,17.0,8.0,30.0,18.0,2.0,8.0,1.0,6.0,10.0,13.0,12.0,18.0,4.0,1.0,0.0,6.0,5.0,9.0,7.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
