wi0,wi1,wi2,wi3,wi4,wi5,wi6,wi7,wi8,wi9,wi10,wi11,wi12,wi13,wi14,wi15,wi16,wi17,wi18,wi19,wi20,wi21,wi22,wi23,wi24,wi25,wi26,wi27,wi28,wi29,wi30,wi31,wi32,wi33,wi34,wi35,wi36,wi37,wi38,wi39,wi40,wi41,wi42,wi43,wi44,wi45,wi46,wi47,wi48,wi49,wi50,wi51,wi52,wi53,wi54,wi55,wi56,wi57,wi58,wi59,wi60,wi61,wi62,wi63,wi64,wi65,wi66,wi67,wi68,wi69,wi70,wi71,wi72,wi73,wi74,wi75,wi76,wi77,wi78,wi79,wi80
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,0.0,8.0,0.0,2.0,0.0,2.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,7.0,0.0,2.0,2.0,3.0,0.0,0.0,10.0,0.0,1.0,7.0,5.0,0.0,1.0,0.0,0.0,10.0,14.0,14.0,10.0,2.0,5.0,0.0,3.0,2.0,1.0,5.0,10.0,23.0,9.0,2.0,1.0,0.0,3.0,1.0,9.0,5.0,8.0,1.0,1.0,0.0,0.0,5.0,2.0,4.0,3.0,5.0,2.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,2.0,22.0,5.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,7.0,11.0,14.0,0.0,1.0,16.0,32.0,19.0,2.0,11.0,22.0,7.0,1.0,0.0,14.0,10.0,14.0,15.0,10.0,2.0,2.0,2.0,6.0,23.0,95.0,66.0,21.0,14.0,25.0,1.0,6.0,13.0,18.0,37.0,101.0,100.0,47.0,21.0,8.0,3.0,6.0,15.0,39.0,50.0,38.0,14.0,4.0,2.0,2.0,10.0,21.0,18.0,29.0,18.0,10.0,9.0,0.0,0.0,1.0,6.0,1.0,3.0,3.0,1.0,0.0,2.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,2.0,1.0,5.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,8.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,2.0,15.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,7.0,3.0,1.0,0.0,3.0,1.0,2.0,9.0,2.0,0.0,0.0,4.0,1.0,3.0,9.0,2.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,7.0,6.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,10.0,3.0,2.0,0.0,8.0,1.0,3.0,4.0,19.0,7.0,9.0,3.0,0.0,1.0,1.0,0.0,4.0,14.0,19.0,22.0,5.0,4.0,6.0,0.0,8.0,5.0,8.0,18.0,22.0,28.0,14.0,16.0,3.0,0.0,4.0,10.0,8.0,15.0,6.0,5.0,0.0,2.0,1.0,4.0,7.0,11.0,8.0,5.0,6.0,5.0,0.0,0.0,0.0,3.0,5.0,1.0,6.0,0.0,0.0,0.0
